task_id,status,confidence,review_reason,person_id,image_id,split,redacted_image_uri,family,category,occasion,formality,aesthetic_tags,color_mood,layering,fit,silhouette,color_family,pattern,style_item_id
auto_style_000006,needs_review,0.69,color_mood_unknown|fit_unknown|silhouette_unknown|color_family_unknown,p_5e2e762e7ba4,p_5e2e762e7ba4_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_5e2e762e7ba4_01.jpg,top,tank,casual,casual,casual_basic,unknown,single_layer,unknown,unknown,unknown,stripe,style_top|tank|casual|unknown|unknown|casual_basic
auto_style_000026,needs_review,0.69,color_mood_unknown|fit_unknown|silhouette_unknown|color_family_unknown,p_a2de569a1d7f,p_a2de569a1d7f_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_a2de569a1d7f_01.jpg,top,tank,casual,casual,casual_basic,unknown,single_layer,unknown,unknown,unknown,solid,style_top|tank|casual|unknown|unknown|casual_basic
auto_style_000036,needs_review,0.69,color_mood_unknown|fit_unknown|silhouette_unknown|color_family_unknown,p_9a50369536c9,p_9a50369536c9_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_9a50369536c9_01.jpg,dress_jumpsuit,midi_dress,casual,casual,classic|romantic,unknown,single_layer,unknown,unknown,unknown,stripe,style_dress_jumpsuit|midi_dress|casual|unknown|unknown|classic+romantic
auto_style_000043,needs_review,0.69,color_mood_unknown|fit_unknown|silhouette_unknown|color_family_unknown,p_d4d47b2521bd,p_d4d47b2521bd_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_d4d47b2521bd_01.jpg,top,tank,casual,casual,casual_basic,unknown,single_layer,unknown,unknown,unknown,solid,style_top|tank|casual|unknown|unknown|casual_basic
auto_style_000060,needs_review,0.69,color_mood_unknown|fit_unknown|silhouette_unknown|color_family_unknown,p_d9e04d5b8d3c,p_d9e04d5b8d3c_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_d9e04d5b8d3c_01.jpg,dress_jumpsuit,midi_dress,casual,casual,classic|romantic,unknown,single_layer,unknown,unknown,unknown,solid,style_dress_jumpsuit|midi_dress|casual|unknown|unknown|classic+romantic
auto_style_000065,needs_review,0.69,color_mood_unknown|fit_unknown|silhouette_unknown|color_family_unknown,p_207a19789a31,p_207a19789a31_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_207a19789a31_01.jpg,top,tank,casual,casual,casual_basic,unknown,single_layer,unknown,unknown,unknown,plaid,style_top|tank|casual|unknown|unknown|casual_basic
auto_style_000068,needs_review,0.69,color_mood_unknown|fit_unknown|silhouette_unknown|color_family_unknown,p_972be3accdf3,p_972be3accdf3_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_972be3accdf3_01.jpg,top,sweater,casual,casual,casual_basic|soft,unknown,single_layer,unknown,unknown,unknown,solid,style_top|sweater|casual|unknown|unknown|casual_basic+soft
auto_style_000092,needs_review,0.69,color_mood_unknown|fit_unknown|silhouette_unknown|color_family_unknown,p_dc1124d71733,p_dc1124d71733_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_dc1124d71733_01.jpg,top,tank,casual,casual,casual_basic,unknown,single_layer,unknown,unknown,unknown,stripe,style_top|tank|casual|unknown|unknown|casual_basic
auto_style_000095,needs_review,0.69,color_mood_unknown|fit_unknown|silhouette_unknown|color_family_unknown,p_d9e04d5b8d3c,p_d9e04d5b8d3c_02,train,redacted/deepfashion_with_masks_balanced_10_20/p_d9e04d5b8d3c_02.jpg,dress_jumpsuit,midi_dress,casual,casual,classic|romantic,unknown,single_layer,unknown,unknown,unknown,solid,style_dress_jumpsuit|midi_dress|casual|unknown|unknown|classic+romantic
auto_style_000097,needs_review,0.69,color_mood_unknown|fit_unknown|silhouette_unknown|color_family_unknown,p_7dd5f13e9cd9,p_7dd5f13e9cd9_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_7dd5f13e9cd9_01.jpg,top,tank,casual,casual,casual_basic,unknown,single_layer,unknown,unknown,unknown,stripe,style_top|tank|casual|unknown|unknown|casual_basic
